STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10001,1,2009,2009,Sedan/Saloon,Pontiac,4,"4-door sedan, hardtop",3,Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10002,1,2009,2009,Sedan/Saloon,Volkswagen,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,40,40 MPH,1,Dry
1,Alabama,10003,1,2015,2015,Coupe,Chevrolet,2,"2-door sedan,hardtop,coupe",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10004,1,2007,2007,Pickup,Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,35,35 MPH,1,Dry
1,Alabama,10005,1,2017,2017,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,0,0,No,3,"Yes, Exceeded Speed Limit",70,70 MPH,1,Dry
1,Alabama,10006,1,9999,Unknown,Unknown,Unknown Make,99,Unknown body type,0,No Rollover,0,No or Not Reported,0,0,No,9,Reported as Unknown,98,Not Reported,1,Dry
1,Alabama,10007,1,2009,2009,Sedan/Saloon,KIA,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,1,Yes,0,No,65,65 MPH,1,Dry
1,Alabama,10007,2,1998,1998,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",3,Rollover,0,No or Not Reported,1,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10008,1,2019,2019,Sedan/Saloon,Hyundai,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,45,45 MPH,1,Dry
1,Alabama,10009,1,2005,2005,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Saturn,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,2,0,No,0,No,70,70 MPH,2,Wet
1,Alabama,10009,2,2022,2022,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,19,"Utility Vehicle, Unknown body type",3,Rollover,0,No or Not Reported,0,0,No,0,No,70,70 MPH,2,Wet
1,Alabama,10010,1,2008,2008,Sport Utility Truck (SUT),Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10011,1,2009,2009,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,0,0,No,0,No,50,50 MPH,2,Wet
1,Alabama,10012,1,1996,1996,Pickup,Dodge,34,Light Pickup,3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10013,1,2020,2020,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Subaru,6,Station Wagon (excluding van and truck based),3,Rollover,0,No or Not Reported,1,0,No,4,"Yes, Too Fast for Conditions",70,70 MPH,2,Wet
1,Alabama,10014,1,2007,2007,Motorcycle - Cruiser,Suzuki,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10015,1,2010,2010,Sedan/Saloon,Ford,4,"4-door sedan, hardtop",3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10015,2,2001,2001,Sedan/Saloon,Honda,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10015,3,2019,2019,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10016,1,1990,1990,Pickup,GMC,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,1,Yes,0,No,65,65 MPH,2,Wet
1,Alabama,10017,1,2001,2001,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,16,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10018,1,2005,2005,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),GMC,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",35,35 MPH,1,Dry
1,Alabama,10019,1,2018,2018,Sedan/Saloon,Toyota,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,98,Not Reported,1,Dry
1,Alabama,10020,1,2012,2012,Coupe,Dodge,2,"2-door sedan,hardtop,coupe",0,No Rollover,1,Yes,1,0,No,0,No,70,70 MPH,1,Dry
1,Alabama,10020,2,2023,2023,Pickup,Dodge,34,Light Pickup,3,Rollover,0,No or Not Reported,0,0,No,0,No,70,70 MPH,1,Dry
1,Alabama,10021,1,2014,2014,Sedan/Saloon,Nissan/Datsun,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,50,50 MPH,1,Dry
1,Alabama,10021,2,1983,1983,Truck-Tractor,Peterbilt,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,50,50 MPH,1,Dry
1,Alabama,10022,1,2022,2022,Hatchback/Liftback/Notchback,Nissan/Datsun,5,5-door/4-door hatchback,0,No Rollover,0,No or Not Reported,1,0,No,9,Reported as Unknown,55,55 MPH,1,Dry
1,Alabama,10022,2,2009,2009,Coupe,Honda,2,"2-door sedan,hardtop,coupe",3,Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10024,1,2008,2008,Incomplete,GMC,34,Light Pickup,3,Rollover,0,No or Not Reported,1,0,No,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10025,1,2024,2024,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,0,0,No,0,No,70,70 MPH,1,Dry
1,Alabama,10026,1,2013,2013,Sedan/Saloon,Nissan/Datsun,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,25,25 MPH,1,Dry
1,Alabama,10027,1,2013,2013,Sedan/Saloon,Ford,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10028,1,2016,2016,Sedan/Saloon,Nissan/Datsun,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,40,40 MPH,1,Dry
1,Alabama,10028,2,1995,1995,Truck-Tractor,Kenworth,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10029,1,2019,2019,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),KIA,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,0,0,No,0,No,45,45 MPH,1,Dry
1,Alabama,10030,1,2023,2023,Sedan/Saloon,KIA,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10031,1,2015,2015,Hatchback/Liftback/Notchback,Scion,3,3-door/2-door hatchback,0,No Rollover,0,No or Not Reported,1,0,No,0,No,98,Not Reported,1,Dry
